business_num_id,business_name,address,city,postal_code,latitude,longitude,business_stars,is_open,serve_burger,serve_sandwich,serve_pizza,serve_breakfast,serve_mexican,serve_american,serve_italian,serve_japanese,serve_hot_drink,god_for_kids,price_range,accepts_credit_card,outdoor_seating,dress_code,reservations,good_for_groups,alcohol,has_tv,wifi,noise_level,smoking,reservations_only,dogs_allowed,competition_distance
1,Wetzel's Pretzels,"4550 East Cactus Rd, #KSFC-4",Phoenix,85032,33.602822,-111.983533,4.0,1,0,0,0,0,0,0,0,0,0,True,1,True,False,casual,False,True,none,False,nan,nan,nan,nan,nan,14
2,Amir,5252 Rue Jean Talon O,Montreal,nan,45.4948701572,-73.6519035927,3.0,1,0,0,0,0,0,0,0,0,0,True,2,nan,True,casual,False,True,nan,True,no,average,nan,nan,nan,17
3,Starbucks,150 Boulevard Cremazie E,Montreal,nan,45.542993,-73.640218,3.5,1,0,0,0,0,0,0,0,0,1,nan,1,nan,True,nan,nan,nan,nan,nan,free,nan,nan,nan,nan,276
4,L'Artisan Piadineria,3421 Rue Saint-Denis,Montreal,H2L 3L2,45.517368812,-73.5679399967,4.0,0,0,1,0,0,0,0,1,0,0,True,2,nan,nan,casual,False,False,none,nan,nan,quiet,nan,nan,nan,6
5,Torteria Lupita,4601 Rue Notre-Dame O,Montreal,H4C 1S5,45.4736323,-73.5881347,4.0,0,0,1,0,1,1,0,0,0,0,True,2,nan,nan,casual,nan,True,nan,nan,no,quiet,nan,nan,nan,10
6,Caballero,804www.caballerolounge.com Rue Roy E,Montreal,nan,45.5206987494,-73.5726423331,3.5,1,0,0,0,0,0,0,0,0,0,True,2,nan,True,casual,True,True,full_bar,True,free,average,nan,nan,nan,107
7,Sam's Deli Mart,3300 N Central Ave Lbby,Phoenix,85012,33.648302,-112.119379,3.0,0,0,1,0,0,0,0,0,0,0,True,1,True,False,casual,False,True,none,nan,nan,average,nan,nan,nan,463
8,Nickels,1200 Rue Peel,Montreal,H3B 2T6,45.499435020600004,-73.5721168667,2.0,0,0,0,0,0,0,1,0,0,0,True,2,nan,nan,casual,True,True,beer_and_wine,True,nan,average,nan,nan,nan,0
9,Chao Phraya,50 Avenue Laurier O,Montreal,H2T 2N4,45.5223759924,-73.593122527,3.5,0,0,0,0,0,0,0,0,0,0,False,2,nan,False,casual,True,True,full_bar,False,no,average,nan,nan,nan,18
10,Phoenix Food Truck Festival,408 E Roosevelt St,Phoenix,85004,33.459023,-112.068175,2.0,0,0,0,0,0,0,0,0,0,0,True,2,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24
11,Cari Mela,2556 Rue Centre,Montreal,H3K 1J8,45.478639,-73.568839,3.5,1,0,0,0,0,0,0,0,0,0,True,2,nan,True,casual,True,True,none,True,nan,quiet,nan,nan,nan,12
12,Pompette,4128 Boulevard Saint-Laurent,Montreal,nan,45.517529,-73.5810981,4.5,0,0,0,0,1,0,0,0,0,0,True,2,nan,True,casual,True,True,full_bar,True,free,nan,outdoor,nan,nan,28
13,Church's Chicken,1546 E Roosevelt,Phoenix,85006,33.4589724,-112.0479398,3.5,1,0,0,0,1,0,0,0,0,0,True,1,True,False,casual,False,True,none,False,no,average,nan,nan,nan,41
14,Sam's Gyros,8941 N Central Ave,Phoenix,85020,33.567452,-112.073536,4.0,0,0,0,0,0,0,0,0,0,0,True,1,True,True,casual,False,True,none,False,nan,quiet,nan,nan,nan,34
15,Starbucks,"1610 N. 75Th Avenue, #100",Phoenix,85035,33.466005,-112.221288,2.0,1,0,0,0,0,0,0,0,0,1,nan,2,True,True,nan,nan,nan,nan,nan,free,average,nan,nan,nan,11
16,B Montreal,1207-A Rue Rachel E,Montreal,nan,45.5266477836,-73.5735161233,4.5,1,0,1,0,0,0,0,0,0,1,True,1,nan,True,nan,False,nan,none,False,free,nan,nan,nan,nan,9
17,Asian Cafe,"2510 W Thunderbird Rd, Ste 9",Phoenix,85023,33.6117852,-112.1105198,4.0,0,0,0,0,0,0,0,0,0,0,True,1,True,False,casual,False,True,none,True,no,average,nan,nan,nan,5
18,Cafe dei Campi,1360 Boulevard Rosemont,Montreal,nan,45.5377712,-73.5921526,5.0,1,0,0,0,0,0,0,0,0,1,True,1,nan,False,nan,False,False,nan,True,free,average,nan,False,nan,74
19,Tacos y Mariscos Sinaloa,2808 W Mcdowell Rd,Phoenix,85009,33.466146,-112.119726,3.0,1,0,0,0,0,1,0,0,0,0,True,2,True,True,casual,True,True,nan,True,free,nan,nan,nan,nan,175
20,L'Oeufrier,6544 Avenue Somerled,Montreal,H4V 1S8,45.4673341,-73.6383197,3.0,1,0,0,0,1,0,0,0,0,0,True,2,nan,True,casual,nan,True,nan,True,nan,quiet,nan,nan,nan,12
21,Mlle Catherine,423 Place Jacques-Cartier,Montreal,nan,45.5080194769,-73.553031702,4.5,1,0,0,0,0,0,0,0,0,1,True,1,nan,True,casual,False,True,nan,False,no,nan,nan,nan,nan,19
22,Amando's Bros,949 W Camelback Rd,Phoenix,85013,33.5091348,-112.0867893,3.0,0,0,0,0,0,1,0,0,0,0,True,1,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,121
23,Bonus Round,"24 W Camelback Rd, Ste DE",Phoenix,85013,33.5097847184,-112.0757409717,4.0,1,0,0,0,0,0,1,0,0,0,False,2,True,False,casual,True,True,full_bar,True,free,loud,no,nan,False,25
24,Sushi Depanneur,928 Avenue du Mont-Royal Est,Montreal,H2J 1Z1,45.526716,-73.580178,4.0,1,0,0,0,0,0,0,0,1,0,True,nan,nan,False,casual,True,True,nan,True,no,nan,nan,nan,nan,6
25,Garcia's,4601 E Thomas Rd,Phoenix,85018,33.47991,-111.982293,3.0,1,0,0,0,0,1,0,0,0,0,True,2,True,False,casual,True,True,full_bar,True,no,average,nan,nan,nan,1
26,Bistro des Moulins,10897 Rue du Pont,Montreal,nan,45.574857,-73.66113,3.5,0,0,0,0,0,0,0,0,0,0,False,2,nan,True,casual,True,True,full_bar,False,free,nan,nan,nan,nan,917
